location,total_sqft,bath,price,rooms
Electronic City Phase II,1056,2.0,39.07,2.0
Chikka Tirupathi,2600,5.0,120.0,4.0
Uttarahalli,1440,2.0,62.0,3.0
Lingadheeranahalli,1521,3.0,95.0,3.0
Kothanur,1200,2.0,51.0,2.0
Whitefield,1170,2.0,38.0,2.0
Old Airport Road,2732,4.0,204.0,4.0
Rajaji Nagar,3300,4.0,600.0,4.0
Marathahalli,1310,3.0,63.25,3.0
Gandhi Bazar,1020,6.0,370.0,6.0
Whitefield,1800,2.0,70.0,3.0
Whitefield,2785,5.0,295.0,4.0
7th Phase JP Nagar,1000,2.0,38.0,2.0
Gottigere,1100,2.0,40.0,2.0
Sarjapur,2250,3.0,148.0,3.0
Mysore Road,1175,2.0,73.5,2.0
Bisuvanahalli,1180,3.0,48.0,3.0
Raja Rajeshwari Nagar,1540,3.0,60.0,3.0
Ramakrishnappa Layout,2770,4.0,290.0,3.0
Manayata Tech Park,1100,2.0,48.0,2.0
Kengeri,600,1.0,15.0,1.0
Binny Pete,1755,3.0,122.0,3.0
Thanisandra,2800,5.0,380.0,4.0
Bellandur,1767,3.0,103.0,3.0
 Thanisandra,510,1.0,25.25,1.0
Mangammanapalya,1250,3.0,56.0,3.0
Electronic City,660,1.0,23.1,2.0
Whitefield,1610,3.0,81.0,3.0
Ramagondanahalli,1151,2.0,48.77,2.0
Electronic City,1025,2.0,47.0,3.0
Yelahanka,2100 - 2850,4.0,186.0,4.0
Bisuvanahalli,1075,2.0,35.0,3.0
Hebbal,1760,2.0,123.0,3.0
Raja Rajeshwari Nagar,1693,3.0,57.39,3.0
Kasturi Nagar,1925,3.0,125.0,3.0
Kanakpura Road,700,2.0,36.0,2.0
Electronics City Phase 1,1070,2.0,45.5,2.0
Kundalahalli,1724,3.0,125.0,3.0
Chikkalasandra,1290,2.0,56.12,3.0
Uttarahalli,1143,2.0,45.0,2.0
Murugeshpalya,1296,2.0,81.0,2.0
Sarjapur  Road,1254,3.0,38.0,3.0
Ganga Nagar,600,1.0,38.0,1.0
Yelahanka,660,1.0,48.0,1.0
Kanakpura Road,1330.74,2.0,91.79,2.0
HSR Layout,600,9.0,200.0,8.0
Doddathoguru,970,2.0,33.0,2.0
Whitefield,1459,2.0,94.82,2.0
KR Puram,800,1.0,130.0,2.0
Himagiri Meadows,869,2.0,36.0,2.0
Adarsh Nagar,1270,2.0,50.0,2.0
Bhoganhalli,1670,3.0,99.0,3.0
Whitefield,2010,3.0,91.0,3.0
Lakshminarayana Pura,1185,2.0,75.0,2.0
Yelahanka,1600,2.0,75.0,3.0
Begur Road,1200,2.0,44.0,2.0
Devanahalli,3010 - 3410,,192.0,4.0
Ramakrishnappa Layout,1500,2.0,185.0,2.0
Murugeshpalya,1407,4.0,150.0,6.0
Govindaraja Nagar Ward,840,2.0,45.0,2.0
Tharabanahalli,4395,3.0,240.0,3.0
Ganga Nagar,845,2.0,55.0,2.0
Whitefield,5700,5.0,650.0,4.0
Varthur,1160,2.0,44.0,2.0
Bommanahalli,3000,8.0,140.0,8.0
Doddathoguru,1100,2.0,62.0,2.0
Gunjur,1140,2.0,43.0,2.0
Marathahalli,1220,2.0,57.0,2.0
Devarachikkanahalli,1350,7.0,85.0,8.0
Kanakpura Road,1005,2.0,36.68,2.0
Double Road,500,3.0,100.0,3.0
Begur Road,1358,2.0,80.58,2.0
Hegde Nagar,1569,3.0,101.0,3.0
Haralur Road,1240,2.0,70.0,2.0
Hennur Road,2089,3.0,140.0,3.0
Kothannur,1206,2.0,48.23,2.0
Kalena Agrahara,1150,2.0,40.0,2.0
Cholanayakanahalli,2511,3.0,205.0,3.0
Kaval Byrasandra,460,1.0,22.0,2.0
ISRO Layout,4400,6.0,250.0,6.0
Kodanda Reddy Layout,1660,2.0,105.0,3.0
Hennur Road,2957 - 3450,,224.5,4.0
Yelahanka,1326,2.0,78.0,2.0
Garudachar Palya,1325,2.0,60.8,3.0
EPIP Zone,1499,5.0,102.0,3.0
Hegde Nagar,3000,7.0,210.0,6.0
Kanakpura Road,1665,3.0,88.0,3.0
Dasanapura,708,2.0,37.0,2.0
Kasavanhalli,1060,2.0,58.06,2.0
Rajaji Nagar,710,6.0,160.0,6.0
Sanjay nagar,1000,2.0,70.0,2.0
Electronic City,1000,2.0,28.88,2.0
 Mysore Highway,1450,2.0,70.0,3.0
ISRO Layout,1200,4.0,155.0,4.0
Thanisandra,1296,2.0,80.0,2.0
Domlur,1540,3.0,90.0,3.0
Kengeri,2894,4.0,245.0,4.0
Sarjapura - Attibele Road,1330,2.0,48.0,3.0
Devasthanagalu,1200,2.0,65.0,2.0
T Dasarahalli,1200,3.0,90.0,3.0
Yeshwanthpur,2502,3.0,138.0,3.0
Chandapura,650,1.0,17.0,2.0
Kothanur,2400,2.0,150.0,3.0
Green View Layout,1007,2.0,43.0,2.0
Shantiniketan Layout,1200,2.0,50.0,2.0
Peenya,966,2.0,49.9,2.0
Nagarbhavi,1630,2.0,98.0,3.0
Rajaji Nagar,1640,3.0,229.0,3.0
Jalahalli West,782,2.0,55.68,2.0
Devanahalli,1260,2.0,66.78,2.0
Lakshmiamma Garden,1800,3.0,120.0,3.0
Byatarayanapura,1413,2.0,75.0,3.0
Whitefield,1116,2.0,51.91,2.0
Electronic City,1530,2.0,45.9,3.0
Ramamurthy Nagar,3700,4.0,225.0,4.0
Sarjapur  Road,2497,3.0,140.0,3.0
Kengeri,1540,2.0,64.0,3.0
Thanisandra,1436,3.0,74.75,3.0
Malleshwaram,1100,2.0,75.0,2.0
Hennur Road,276,3.0,23.0,2.0
Thanisandra,1427,3.0,120.0,3.0
Akshaya Nagar,2061,3.0,200.0,3.0
Hebbal,3067 - 8156,4.0,477.0,4.0
Shampura,2650,4.0,150.0,4.0
Devanahalli,1282,2.0,68.52,3.0
Kadugodi,1050,2.0,34.0,2.0
LB Shastri Nagar,1600,3.0,65.0,3.0
Vajarahalli,945,2.0,54.0,2.0
Hormavu,1500,2.0,78.0,2.0
Vishwapriya Layout,950,7.0,115.0,7.0
Peenya,1870,3.0,110.0,3.0
Sarjapur,1600,3.0,75.0,3.0
Electronic City,880,1.0,16.5,2.0
Ramaswamy Palya - Kammanahalli Main Road,1200,4.0,210.0,4.0
Kudlu Gate,1535,3.0,83.0,3.0
Kanakpura Road,950,2.0,57.0,2.0
Devanahalli,1360,2.0,65.0,2.0
8th Phase JP Nagar,1042 - 1105,2.0,54.005,2.0
Bommasandra Industrial Area,1280,3.0,50.4,3.0
Chandra Layout,1260,2.0,85.05,3.0
Hennur Road,5000,8.0,250.0,8.0
Yelahanka,3050,5.0,213.0,5.0
Kasavanhalli,1563.05,3.0,105.0,3.0
ISRO Layout,1000,2.0,60.0,2.0
Anandapura,1167,2.0,43.76,2.0
Vishveshwarya Layout,4000,7.0,225.0,7.0
Kothanur,1828,3.0,110.0,3.0
Kengeri Satellite Town,890,2.0,35.0,2.0
Basavanapura,1612,3.0,46.74,3.0
Dinnur,1034,5.0,185.0,6.0
Mysore Road,1710,4.0,91.31,3.0
Kannamangala,957,2.0,58.0,2.0
 Devarachikkanahalli,1250,2.0,44.0,3.0
Sanjeevini Nagar,2795,4.0,235.0,3.0
Hulimavu,1125,2.0,50.0,2.0
Electronic City Phase II,1020,2.0,30.6,2.0
Kalena Agrahara,1200,2.0,50.0,2.0
Thanisandra,1735,3.0,135.0,3.0
Thanisandra,2050,3.0,145.0,3.0
Mahalakshmi Layout,3750,4.0,760.0,4.0
Yarandahalli,1350,2.0,48.0,3.0
Hosa Road,1063,2.0,32.0,2.0
Keshava Nagar,1904,3.0,150.0,3.0
Whitefield,4200,4.0,420.0,4.0
RMV Extension,2000,3.0,175.0,3.0
Sarjapur,1145 - 1340,2.0,43.49,2.0
Tejaswini Nagar,1425,2.0,75.0,3.0
Electronic City,1500,2.0,64.5,3.0
Electronic City,1060,2.0,60.0,2.0
Jai Bheema Nagar,1470,2.0,70.0,3.0
Kothnur Narayanapura,1300,6.0,99.0,6.0
Attibele,450,1.0,11.0,1.0
Electronic City,1152,2.0,64.5,2.0
Electronic City,1350,2.0,56.0,3.0
CV Raman Nagar,1550,3.0,65.0,3.0
CHIKKATIRUPATHI,1500,3.0,100.0,3.0
Kumaraswami Layout,600,3.0,85.0,5.0
Nagavara,400,1.0,14.0,1.0
Malleshwaram,705,1.0,67.0,1.0
Electronic City,770,1.0,36.0,2.0
Hulimavu,1242,2.0,51.0,2.0
Hebbal Kempapura,1700,3.0,155.0,3.0
Thanisandra,2144,3.0,145.0,3.0
Vijayanagar,1704,3.0,110.0,3.0
Electronic City,1070,2.0,52.0,2.0
8th block Koramangala,1846,3.0,300.0,3.0
Jakkuru Layout,1340,2.0,55.7,2.0
Electronic City,1025,2.0,46.0,2.0
KR Puram,1015 - 1540,2.0,56.8,2.0
Marathahalli,1200,2.0,52.0,2.0
Kanakpura Road,2250,4.0,110.0,4.0
Pattandur Agrahara,1550,2.0,80.0,3.0
Bellandur,1200,5.0,325.0,4.0
Ejipura,1800,7.0,250.0,7.0
Marathahalli,1200,2.0,60.0,2.0
Yelahanka,1327,2.0,98.0,2.0
Kothanur,1186,2.0,58.0,2.0
MS Pallya,1783,3.0,115.0,3.0
HSR Layout,1400,3.0,56.0,3.0
Nagasandra,980,2.0,48.0,2.0
EPIP Zone,1285,2.0,82.0,2.0
Langford Town,912,2.0,70.0,3.0
Whitefield,1225,2.0,47.6,2.0
Whitefield,1075,2.0,53.0,2.0
Kadugodi,1260,2.0,54.0,3.0
Yelahanka,1282,2.0,48.7,3.0
Kogilu,1909,3.0,88.0,3.0
Panathur,1359,2.0,87.0,2.0
Nagondanahalli,1207,2.0,43.5,2.0
Padmanabhanagar,1736,6.0,190.0,4.0
1st Block Jayanagar,2850,4.0,428.0,4.0
Kammasandra,1595,3.0,65.0,3.0
"Off Sarjapur Road, ",1798,3.0,89.0,3.0
Electronics City Phase 1,1475,3.0,78.29,3.0
Tala Cauvery Layout,1580,3.0,100.0,3.0
Dasarahalli,1295,2.0,65.0,2.0
Magadi Road,3600,6.0,141.0,6.0
Electronic City,589,1.0,27.0,1.0
Ngef Layout,1415,3.0,78.0,3.0
Sarjapur  Road,1787,3.0,98.29,3.0
Sarjapur  Road,1787,3.0,125.0,3.0
Koramangala,1475,2.0,90.0,3.0
"Lakshminarayanapura, Electronic City Phase 2",2000,4.0,75.5,4.0
Sarjapur  Road,984,2.0,44.28,2.0
Devanahalli,1520 - 1740,,74.82,3.0
Muthurayya Swamy Layout,2405,4.0,260.0,3.0
7th Phase JP Nagar,1080,2.0,72.0,2.0
Shantiniketan Layout,1500,2.0,115.0,2.0
Hebbal,1900,3.0,119.0,3.0
Dommasandra,805,2.0,22.14,2.0
Budigere,1153,2.0,56.4,2.0
Dodda Nekkundi Extension,1148,2.0,60.0,2.0
Mylasandra,1110,2.0,55.0,2.0
Electronic City,1100,2.0,42.0,2.0
Kalyan nagar,1290,2.0,110.0,2.0
Dr Shivarama Karantha Nagar,1500,2.0,65.0,3.0
Bank Of Baroda Colony,1080,2.0,39.0,2.0
Vijayanagar,1933,3.0,129.0,3.0
Ramamurthy Nagar,3500,5.0,150.0,5.0
Kullappa Colony,1060,2.0,60.0,2.0
Chandapura,645,1.0,16.45,1.0
Mukkutam Nagar,2600,8.0,180.0,8.0
Chandapura,645,1.0,16.45,1.0
Ashwath Nagar,1644,3.0,84.0,3.0
Ncpr Industrial Layout,1285,2.0,72.5,2.0
Electronic City,1200,3.0,90.0,3.0
Electronic City,910,2.0,40.0,2.0
Kothanur,1577,3.0,70.0,3.0
Meenakunte,4050,3.0,280.0,3.0
OMBR Layout,2420,3.0,185.0,3.0
Chandapura,800,1.0,20.0,2.0
Anand Nagar,1060,2.0,55.0,2.0
7th Phase JP Nagar,1270,2.0,93.0,2.0
Shree Ananth Nagar Layout,900,2.0,22.5,2.0
Kundalahalli Colony,1280,2.0,69.0,2.0
Horamavu Agara,1200,2.0,95.0,4.0
Sarjapur  Road,1025,2.0,36.0,2.0
Electronic City,1108,2.0,63.0,2.0
MCECHS  layout,1200,5.0,170.0,5.0
Coffee Board Layout,3045,3.0,170.0,3.0
Ambedkar Nagar,2900,3.0,300.0,4.0
Vijayanagar,1500,3.0,75.5,3.0
Raja Rajeshwari Nagar,1295,2.0,43.9,2.0
Budigere,1162,2.0,59.9,2.0
Sarjapur  Road,1035,2.0,49.2,2.0
Attibele,1600,4.0,52.8,4.0
KUDLU MAIN ROAD,1464,3.0,46.0,3.0
Hennur Road,1866,2.0,61.58,3.0
Geleyara Balaga Layout,700,1.0,26.0,2.0
Kalena Agrahara,1804,3.0,120.0,3.0
Sarjapur,913,2.0,32.0,2.0
Talaghattapura,1868,3.0,131.0,3.0
Kengeri Satellite Town,883,2.0,45.0,2.0
Sundara Nagar,900,2.0,110.0,2.0
Kogilu,1664,2.0,73.95,3.0
Hegde Nagar,2026,3.0,132.0,3.0
Balagere,1210,2.0,80.9,2.0
Meenakunte,4111,4.0,250.0,4.0
Kadugodi,1762,3.0,91.45,3.0
Jigani,1252,3.0,55.0,3.0
Gollarapalya Hosahalli,861,2.0,34.5,2.0
7th Phase JP Nagar,1420,2.0,100.0,3.0
Srirampura,1450,6.0,250.0,6.0
Electronics City Phase 1,1490,3.0,78.8,3.0
Bisuvanahalli,1075,2.0,46.0,3.0
Old Madras Road,1425,2.0,94.0,3.0
Kalena Agrahara,1200,2.0,40.0,2.0
Kaggadasapura,1280,2.0,56.0,3.0
